subject_id,project_id,workflow_id,subject_set_id,metadata,locations,classifications_count,retired_at,retirement_reason
10592036,4786,4459,13003,"{""id"":""5"",""image1"":""Feynmann.jpg"",""image2"":""PdecayA1.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/228141a2-1658-4214-9ff2-9ba0cf481af1.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/3fd360a1-5358-43ab-a2ef-a76a5f308a4f.png""}",0,,
10592038,4786,4351,13003,"{""id"":""6"",""image1"":""Integrals.jpg"",""image2"":""IntegralA1.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/6cea7feb-3e98-4132-8bcd-53390129a68c.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/53237d33-9070-4ff4-8273-905cf95a4f79.png""}",7,,
10592038,4786,4459,13003,"{""id"":""6"",""image1"":""Integrals.jpg"",""image2"":""IntegralA1.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/6cea7feb-3e98-4132-8bcd-53390129a68c.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/53237d33-9070-4ff4-8273-905cf95a4f79.png""}",0,,
10592040,4786,4351,13003,"{""id"":""7"",""image1"":""NASA.jpg"",""image2"":""NASAA1.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/f30d545c-94ee-47ed-8e2c-ee12f686e338.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/00e30a2f-36cb-4511-abab-b8326231ec55.png""}",7,,
10592040,4786,4459,13003,"{""id"":""7"",""image1"":""NASA.jpg"",""image2"":""NASAA1.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/f30d545c-94ee-47ed-8e2c-ee12f686e338.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/00e30a2f-36cb-4511-abab-b8326231ec55.png""}",0,,
10592042,4786,4351,13003,"{""id"":""8"",""image1"":""Stirling.jpg"",""image2"":""StirlingA1.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/8e66cce8-8211-48fb-9ff3-e21197fa0869.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/fe4bc253-b9ec-4114-890b-8b504ec16086.png""}",7,,
10592042,4786,4459,13003,"{""id"":""8"",""image1"":""Stirling.jpg"",""image2"":""StirlingA1.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/8e66cce8-8211-48fb-9ff3-e21197fa0869.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/fe4bc253-b9ec-4114-890b-8b504ec16086.png""}",0,,
10592044,4786,4351,13003,"{""id"":""9"",""image1"":""Emissions.jpg"",""image2"":""EmissionsA1.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/9aae4e19-a6b8-47e7-bcad-657f70301cf8.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/0782d77b-ed5f-439d-a0a6-56a59aba32b7.png""}",7,,
10592044,4786,4459,13003,"{""id"":""9"",""image1"":""Emissions.jpg"",""image2"":""EmissionsA1.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/9aae4e19-a6b8-47e7-bcad-657f70301cf8.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/0782d77b-ed5f-439d-a0a6-56a59aba32b7.png""}",0,,
10592047,4786,4351,13003,"{""id"":""10"",""image1"":""Velocity.jpg"",""image2"":""VTA1.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/28976c97-17ec-4631-82c1-7b217a6b6aa0.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/e5857405-e2bb-4a6e-bda1-dc093a71c5c4.png""}",7,,
10592047,4786,4459,13003,"{""id"":""10"",""image1"":""Velocity.jpg"",""image2"":""VTA1.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/28976c97-17ec-4631-82c1-7b217a6b6aa0.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/e5857405-e2bb-4a6e-bda1-dc093a71c5c4.png""}",0,,
